folder_path,filename,COO_linkers,cyano_linkers,passed_cif2lammps,passed_lammps,stability
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-a8fda50f.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=C(C2=CC(C#N)=CC=C2)C=C1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-763ba0ae.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=C(C=C1)C2=CC=C(C#N)C=C2'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-a33efb26.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#Cc1cc(C2=CC(C#N)=CC=C2)ccc1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-4766b767.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=C(C2=CC(C#N)=CC=C2)OC1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-6a819061.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=NC1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-5a8d2f67.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=N1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-dc798019.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=CC(=C1)C2=CC=C(C#N)C=C2'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-0289ea79.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=CC(C2=CC=C(C#N)C=C2)=C1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-a8fda50f.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#Cc1ccc(C2=CC(C#N)=CC=C2)cc1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-dfde148e.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC']",['N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=CC1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-981ef728.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=C(C=C1)N']",['N#CC1=CC=C(C2=CC(C#N)=CC=C2)OC1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-8c2765db.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=C(C=C1)N']",['N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=NC1'],,,
/home/x-sappana/MOFScientist/log/run_4/assembled_mofs,example_MOF_mof-1ddeef39.cif,"['O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=CC(=C1)OC', 'O=C(O)c1cc(cc(c1)C(=O)O)C1=CC=C(C=C1)N']",['N#Cc1cc(C2=CC(C#N)=CC=C2)ccc1'],,,
